item_index,virtual_object,physical_object,property_type,ground_truth_rating,interaction_activity,utilization_method,ft_predicted_rating,ft_accuracy_score,ft_parse_success,base_predicted_rating,base_accuracy_score,base_parse_success,ft_error,base_error,winner
0,Chest,Stainless Steel Water Bottle,Inertia,2,Players would open the lid to reveal storage space for holding items.,Twist off the metal cap while holding the body still,5,0.0,True,2.0,1.0,True,3,0.0,base
1,Chest,Stainless Steel Water Bottle,Interactivity,1,Players would open the lid to reveal storage space for holding items.,Twist off the metal cap while holding the body still,5,0.0,True,,0.0,False,4,,tie
2,Chest,Stainless Steel Water Bottle,Outline,1,Players would open the lid to reveal storage space for holding items.,Twist off the metal cap while holding the body still,2,0.7,True,1.0,1.0,True,1,0.0,base
3,Chest,Stainless Steel Water Bottle,Texture,5,Players would open the lid to reveal storage space for holding items.,Twist off the metal cap while holding the body still,2,0.0,True,2.0,0.0,True,3,3.0,tie
4,Chest,Stainless Steel Water Bottle,Hardness,5,Players would open the lid to reveal storage space for holding items.,Twist off the metal cap while holding the body still,5,1.0,True,5.0,1.0,True,0,0.0,tie
5,Chest,Stainless Steel Water Bottle,Temperature,5,Players would open the lid to reveal storage space for holding items.,Twist off the metal cap while holding the body still,4,0.7,True,5.0,1.0,True,1,0.0,base
6,Double Slider,Pillow,Inertia,5,This virtual double slider serves as a mechanical control interface.,"Set the plush on a smooth table, press down lightly on the white rim (acts as a bar), and slide the toy forward/back by compressing the plush fabric. The soft drag gives gentle resistance, suitable for simulating a low-friction virtual slider.",5,1.0,True,2.0,0.0,True,0,3.0,fine_tuned
7,Double Slider,Pillow,Interactivity,4,This virtual double slider serves as a mechanical control interface.,"Set the plush on a smooth table, press down lightly on the white rim (acts as a bar), and slide the toy forward/back by compressing the plush fabric. The soft drag gives gentle resistance, suitable for simulating a low-friction virtual slider.",5,0.7,True,,0.0,False,1,,fine_tuned
8,Double Slider,Pillow,Outline,5,This virtual double slider serves as a mechanical control interface.,"Set the plush on a smooth table, press down lightly on the white rim (acts as a bar), and slide the toy forward/back by compressing the plush fabric. The soft drag gives gentle resistance, suitable for simulating a low-friction virtual slider.",2,0.0,True,2.0,0.0,True,3,3.0,tie
9,Double Slider,Pillow,Texture,1,This virtual double slider serves as a mechanical control interface.,"Set the plush on a smooth table, press down lightly on the white rim (acts as a bar), and slide the toy forward/back by compressing the plush fabric. The soft drag gives gentle resistance, suitable for simulating a low-friction virtual slider.",2,0.7,True,2.0,0.7,True,1,1.0,tie
10,Double Slider,Pillow,Hardness,1,This virtual double slider serves as a mechanical control interface.,"Set the plush on a smooth table, press down lightly on the white rim (acts as a bar), and slide the toy forward/back by compressing the plush fabric. The soft drag gives gentle resistance, suitable for simulating a low-friction virtual slider.",2,0.7,True,1.0,1.0,True,1,0.0,base
11,Double Slider,Pillow,Temperature,1,This virtual double slider serves as a mechanical control interface.,"Set the plush on a smooth table, press down lightly on the white rim (acts as a bar), and slide the toy forward/back by compressing the plush fabric. The soft drag gives gentle resistance, suitable for simulating a low-friction virtual slider.",2,0.7,True,2.0,0.7,True,1,1.0,tie
12,Dropper,Pillow,Inertia,2,This dropper would be used for liquid dispensing.,"Pinch a portion of the plush rim between thumb and finger; the stuffed filling compresses easily and rebounds, yielding the soft, elastic feedback of a rubber bulb.",5,0.0,True,2.0,1.0,True,3,0.0,base
13,Dropper,Pillow,Interactivity,5,This dropper would be used for liquid dispensing.,"Pinch a portion of the plush rim between thumb and finger; the stuffed filling compresses easily and rebounds, yielding the soft, elastic feedback of a rubber bulb.",5,1.0,True,1.0,0.0,True,0,4.0,fine_tuned
14,Dropper,Pillow,Outline,2,This dropper would be used for liquid dispensing.,"Pinch a portion of the plush rim between thumb and finger; the stuffed filling compresses easily and rebounds, yielding the soft, elastic feedback of a rubber bulb.",2,1.0,True,,0.0,False,0,,fine_tuned
15,Dropper,Pillow,Texture,2,This dropper would be used for liquid dispensing.,"Pinch a portion of the plush rim between thumb and finger; the stuffed filling compresses easily and rebounds, yielding the soft, elastic feedback of a rubber bulb.",3,0.7,True,2.0,1.0,True,1,0.0,base
16,Dropper,Pillow,Hardness,5,This dropper would be used for liquid dispensing.,"Pinch a portion of the plush rim between thumb and finger; the stuffed filling compresses easily and rebounds, yielding the soft, elastic feedback of a rubber bulb.",5,1.0,True,2.0,0.0,True,0,3.0,fine_tuned
17,Dropper,Pillow,Temperature,4,This dropper would be used for liquid dispensing.,"Pinch a portion of the plush rim between thumb and finger; the stuffed filling compresses easily and rebounds, yielding the soft, elastic feedback of a rubber bulb.",3,0.7,True,1.0,0.0,True,1,3.0,fine_tuned
18,Hammer,Sewing Tape Measure,Inertia,2,Striking and smashing objects,"Pull out about 15 cm of tape and wrap it around your fingers as a makeshift handle, letting the disc housing dangle forward as the hammer head.",3,0.7,True,1.0,0.7,True,1,1.0,tie
19,Hammer,Sewing Tape Measure,Interactivity,2,Striking and smashing objects,"Pull out about 15 cm of tape and wrap it around your fingers as a makeshift handle, letting the disc housing dangle forward as the hammer head.",5,0.0,True,1.0,0.7,True,3,1.0,base
20,Hammer,Sewing Tape Measure,Outline,1,Striking and smashing objects,"Pull out about 15 cm of tape and wrap it around your fingers as a makeshift handle, letting the disc housing dangle forward as the hammer head.",3,0.3,True,,0.0,False,2,,fine_tuned
21,Hammer,Sewing Tape Measure,Texture,2,Striking and smashing objects,"Pull out about 15 cm of tape and wrap it around your fingers as a makeshift handle, letting the disc housing dangle forward as the hammer head.",2,1.0,True,1.0,0.7,True,0,1.0,fine_tuned
22,Hammer,Sewing Tape Measure,Hardness,5,Striking and smashing objects,"Pull out about 15 cm of tape and wrap it around your fingers as a makeshift handle, letting the disc housing dangle forward as the hammer head.",2,0.0,True,1.0,0.0,True,3,4.0,tie
23,Hammer,Sewing Tape Measure,Temperature,2,Striking and smashing objects,"Pull out about 15 cm of tape and wrap it around your fingers as a makeshift handle, letting the disc housing dangle forward as the hammer head.",2,1.0,True,1.0,0.7,True,0,1.0,fine_tuned
24,Keyboard,Selfie-stick,Inertia,4,VR players would press series of piano keys to generate musical notes.,Fully extend the telescopic pole and lay the tripod horizontally. Tapping along the pole like wide keyboard.,5,0.7,True,,0.0,False,1,,fine_tuned
25,Keyboard,Selfie-stick,Interactivity,4,VR players would press series of piano keys to generate musical notes.,Fully extend the telescopic pole and lay the tripod horizontally. Tapping along the pole like wide keyboard.,3,0.7,True,1.0,0.0,True,1,3.0,fine_tuned
26,Keyboard,Selfie-stick,Outline,5,VR players would press series of piano keys to generate musical notes.,Fully extend the telescopic pole and lay the tripod horizontally. Tapping along the pole like wide keyboard.,5,1.0,True,2.0,0.0,True,0,3.0,fine_tuned
27,Keyboard,Selfie-stick,Texture,4,VR players would press series of piano keys to generate musical notes.,Fully extend the telescopic pole and lay the tripod horizontally. Tapping along the pole like wide keyboard.,3,0.7,True,,0.0,False,1,,fine_tuned
28,Keyboard,Selfie-stick,Hardness,2,VR players would press series of piano keys to generate musical notes.,Fully extend the telescopic pole and lay the tripod horizontally. Tapping along the pole like wide keyboard.,5,0.0,True,2.0,1.0,True,3,0.0,base
29,Keyboard,Selfie-stick,Temperature,5,VR players would press series of piano keys to generate musical notes.,Fully extend the telescopic pole and lay the tripod horizontally. Tapping along the pole like wide keyboard.,5,1.0,True,4.0,0.7,True,0,1.0,fine_tuned
30,Party Balloon,Game Controller,Inertia,5,These party balloons would be used for playful interaction in celebration VR environments. VR players would flick or tap floating balloons to set them in motion.,"Flick either thumb-stick sideways and let it self-center; the spring return offers a smooth, low-force bounce like nudging a small balloon. ",5,1.0,True,,0.0,False,0,,fine_tuned
31,Party Balloon,Game Controller,Interactivity,6,These party balloons would be used for playful interaction in celebration VR environments. VR players would flick or tap floating balloons to set them in motion.,"Flick either thumb-stick sideways and let it self-center; the spring return offers a smooth, low-force bounce like nudging a small balloon. ",5,0.7,True,5.0,0.7,True,1,1.0,tie
32,Party Balloon,Game Controller,Outline,3,These party balloons would be used for playful interaction in celebration VR environments. VR players would flick or tap floating balloons to set them in motion.,"Flick either thumb-stick sideways and let it self-center; the spring return offers a smooth, low-force bounce like nudging a small balloon. ",2,0.7,True,2.0,0.7,True,1,1.0,tie
33,Party Balloon,Game Controller,Texture,2,These party balloons would be used for playful interaction in celebration VR environments. VR players would flick or tap floating balloons to set them in motion.,"Flick either thumb-stick sideways and let it self-center; the spring return offers a smooth, low-force bounce like nudging a small balloon. ",2,1.0,True,2.0,1.0,True,0,0.0,tie
34,Party Balloon,Game Controller,Hardness,3,These party balloons would be used for playful interaction in celebration VR environments. VR players would flick or tap floating balloons to set them in motion.,"Flick either thumb-stick sideways and let it self-center; the spring return offers a smooth, low-force bounce like nudging a small balloon. ",5,0.3,True,3.0,1.0,True,2,0.0,base
35,Party Balloon,Game Controller,Temperature,4,These party balloons would be used for playful interaction in celebration VR environments. VR players would flick or tap floating balloons to set them in motion.,"Flick either thumb-stick sideways and let it self-center; the spring return offers a smooth, low-force bounce like nudging a small balloon. ",3,0.7,True,5.0,0.7,True,1,1.0,tie
36,Pot Plant,Ergonomic Chair,Inertia,4,VR players would run their hands along the leaves for stress relief.,"Stand beside chair and pass hands over the mesh backrest; the tensioned fabric yields slightly then springs back, similar to flexible foliage surfaces. ",5,0.7,True,,0.0,False,1,,fine_tuned
37,Pot Plant,Ergonomic Chair,Interactivity,4,VR players would run their hands along the leaves for stress relief.,"Stand beside chair and pass hands over the mesh backrest; the tensioned fabric yields slightly then springs back, similar to flexible foliage surfaces. ",5,0.7,True,,0.0,False,1,,fine_tuned
38,Pot Plant,Ergonomic Chair,Outline,2,VR players would run their hands along the leaves for stress relief.,"Stand beside chair and pass hands over the mesh backrest; the tensioned fabric yields slightly then springs back, similar to flexible foliage surfaces. ",3,0.7,True,2.0,1.0,True,1,0.0,base
39,Pot Plant,Ergonomic Chair,Texture,4,VR players would run their hands along the leaves for stress relief.,"Stand beside chair and pass hands over the mesh backrest; the tensioned fabric yields slightly then springs back, similar to flexible foliage surfaces. ",5,0.7,True,3.0,0.7,True,1,1.0,tie
40,Pot Plant,Ergonomic Chair,Hardness,4,VR players would run their hands along the leaves for stress relief.,"Stand beside chair and pass hands over the mesh backrest; the tensioned fabric yields slightly then springs back, similar to flexible foliage surfaces. ",5,0.7,True,4.0,1.0,True,1,0.0,base
41,Pot Plant,Ergonomic Chair,Temperature,3,VR players would run their hands along the leaves for stress relief.,"Stand beside chair and pass hands over the mesh backrest; the tensioned fabric yields slightly then springs back, similar to flexible foliage surfaces. ",5,0.3,True,2.0,0.7,True,2,1.0,base
42,Red Button,Game Controller,Inertia,4,Pressing the button to trigger critical actions,"Use the large A button: press firmly until the membrane switch actuates with a tactile bump and faint click, then release for spring return.",5,0.7,True,,0.0,False,1,,fine_tuned
43,Red Button,Game Controller,Interactivity,6,Pressing the button to trigger critical actions,"Use the large A button: press firmly until the membrane switch actuates with a tactile bump and faint click, then release for spring return.",6,1.0,True,,0.0,False,0,,fine_tuned
44,Red Button,Game Controller,Outline,3,Pressing the button to trigger critical actions,"Use the large A button: press firmly until the membrane switch actuates with a tactile bump and faint click, then release for spring return.",5,0.3,True,,0.0,False,2,,fine_tuned
45,Red Button,Game Controller,Texture,5,Pressing the button to trigger critical actions,"Use the large A button: press firmly until the membrane switch actuates with a tactile bump and faint click, then release for spring return.",5,1.0,True,6.0,0.7,True,0,1.0,fine_tuned
46,Red Button,Game Controller,Hardness,6,Pressing the button to trigger critical actions,"Use the large A button: press firmly until the membrane switch actuates with a tactile bump and faint click, then release for spring return.",5,0.7,True,6.0,1.0,True,1,0.0,base
47,Red Button,Game Controller,Temperature,5,Pressing the button to trigger critical actions,"Use the large A button: press firmly until the membrane switch actuates with a tactile bump and faint click, then release for spring return.",5,1.0,True,6.0,0.7,True,0,1.0,fine_tuned
48,Soccer,Stainless Steel Water Bottle,Inertia,5,This soccer ball would be used for training exercises. VR players would primarily kick the ball for practicing penalties,Lay the bottle on its side and kick through the middle. ,2,0.0,True,,0.0,False,3,,tie
49,Soccer,Stainless Steel Water Bottle,Interactivity,5,This soccer ball would be used for training exercises. VR players would primarily kick the ball for practicing penalties,Lay the bottle on its side and kick through the middle. ,3,0.3,True,1.0,0.0,True,2,4.0,fine_tuned
50,Soccer,Stainless Steel Water Bottle,Outline,4,This soccer ball would be used for training exercises. VR players would primarily kick the ball for practicing penalties,Lay the bottle on its side and kick through the middle. ,2,0.3,True,1.0,0.0,True,2,3.0,fine_tuned
51,Soccer,Stainless Steel Water Bottle,Texture,4,This soccer ball would be used for training exercises. VR players would primarily kick the ball for practicing penalties,Lay the bottle on its side and kick through the middle. ,2,0.3,True,1.0,0.0,True,2,3.0,fine_tuned
52,Soccer,Stainless Steel Water Bottle,Hardness,3,This soccer ball would be used for training exercises. VR players would primarily kick the ball for practicing penalties,Lay the bottle on its side and kick through the middle. ,2,0.7,True,1.0,0.3,True,1,2.0,fine_tuned
53,Soccer,Stainless Steel Water Bottle,Temperature,4,This soccer ball would be used for training exercises. VR players would primarily kick the ball for practicing penalties,Lay the bottle on its side and kick through the middle. ,2,0.3,True,2.0,0.3,True,2,2.0,tie
54,Steering Wheel,Pillow,Inertia,3,This steering wheel would be used for vehicle navigation.,Hold opposite edges of the plush shell and twist it left or right. ,2,0.7,True,1.0,0.3,True,1,2.0,fine_tuned
55,Steering Wheel,Pillow,Interactivity,4,This steering wheel would be used for vehicle navigation.,Hold opposite edges of the plush shell and twist it left or right. ,3,0.7,True,,0.0,False,1,,fine_tuned
56,Steering Wheel,Pillow,Outline,5,This steering wheel would be used for vehicle navigation.,Hold opposite edges of the plush shell and twist it left or right. ,2,0.0,True,,0.0,False,3,,tie
57,Steering Wheel,Pillow,Texture,2,This steering wheel would be used for vehicle navigation.,Hold opposite edges of the plush shell and twist it left or right. ,2,1.0,True,1.0,0.7,True,0,1.0,fine_tuned
58,Steering Wheel,Pillow,Hardness,1,This steering wheel would be used for vehicle navigation.,Hold opposite edges of the plush shell and twist it left or right. ,2,0.7,True,1.0,1.0,True,1,0.0,base
59,Steering Wheel,Pillow,Temperature,2,This steering wheel would be used for vehicle navigation.,Hold opposite edges of the plush shell and twist it left or right. ,2,1.0,True,1.0,0.7,True,0,1.0,fine_tuned
