,P0_Apple iMac desktop computer with black screen,P1_small white oscillating desk fan,P2_black mesh office chair,P3_white USB charging cable,P4_compact mechanical keyboard with black and gray keycaps and one orange key,P5_white wireless mouse,P6_black ballpoint pen with metallic clip,P7_green retractable tape measure,P8_small white handheld stapler,P9_clear disposable plastic cup,P10_pair of scissors with black blades and orange handles,P11_spray bottle with translucent white top and blue liquid,P12_black folding stand or phone/tablet holder,P13_bright orange ping-pong ball,P14_grey and white camouflage wireless game controller,P15_clear empty wine glass,P16_small cylindrical AAA battery,P17_grey 3D-printed rabbit figurine,P18_red packet of Shin Ramyeon spicy ramen,P19_black-handled collapsible selfie stick / monopod,P20_small blue metal binder clip,P21_yellow rectangular kitchen sponge with green scrub side,P22_cylindrical metal calibration weight labeled 'M 500g',P23_blue and white soft pack of facial tissues,P24_hand brush with wooden handle and black bristles,P25_black leather three-seat sofa,P26_yellow Japanese snack bag,P27_green turtle shell plush pillow,P28_folded checkered umbrella with hooked handle
P0_Apple iMac desktop computer with black screen,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P1_small white oscillating desk fan,"3.3019272488946263(6,3,2)","0(0,0,0)","3.1072325059538586(5,3,2)","1.4422495703074083(3,1,1)","4.160167646103808(6,4,3)","2.8844991406148166(4,3,2)","1.5874010519681994(2,2,1)","2.8844991406148166(4,3,2)","3.4199518933533937(5,4,2)","2.2894284851066637(3,4,1)","3.1072325059538586(5,3,2)","2.6207413942088964(3,3,2)","3.1072325059538586(5,3,2)","1.5874010519681994(1,4,1)","3.634241185664279(6,4,2)","2.7144176165949063(2,5,2)","1.2599210498948732(1,2,1)","2.8844991406148166(3,4,2)","1.7099759466766968(5,1,1)","3.634241185664279(6,4,2)","2.2894284851066637(2,2,3)","3.1072325059538586(5,3,2)","2.8844991406148166(4,3,2)","2.154434690031884(5,2,1)","2.7144176165949063(5,4,1)","2.2894284851066637(6,2,1)","2.0(4,2,1)","2.6207413942088964(6,3,1)","2.8844991406148166(3,4,2)"
P2_black mesh office chair,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P3_white USB charging cable,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P4_compact mechanical keyboard with black and gray keycaps and one orange key,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P5_white wireless mouse,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P6_black ballpoint pen with metallic clip,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P7_green retractable tape measure,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P8_small white handheld stapler,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P9_clear disposable plastic cup,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P10_pair of scissors with black blades and orange handles,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P11_spray bottle with translucent white top and blue liquid,"0.0(6,0,1)","0.0(4,0,1)","0.0(6,0,1)","0.0(1,0,1)","0.0(5,0,2)","0.0(3,0,2)","0.0(2,0,1)","0.0(3,0,2)","0.0(3,0,2)","0.0(2,0,1)","0.0(2,0,1)","0(0,0,0)","0.0(4,0,2)","0.0(1,0,1)","0.0(4,0,2)","0.0(2,0,1)","0.0(1,0,3)","0.0(2,0,1)","0.0(5,0,1)","0.0(3,0,2)","0.0(1,0,1)","0.0(4,0,1)","0.0(3,0,4)","0.0(5,0,1)","0.0(4,0,2)","0.0(6,0,1)","0.0(4,0,1)","0.0(5,0,1)","0.0(3,0,2)"
P12_black folding stand or phone/tablet holder,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P13_bright orange ping-pong ball,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P14_grey and white camouflage wireless game controller,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P15_clear empty wine glass,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P16_small cylindrical AAA battery,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P17_grey 3D-printed rabbit figurine,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P18_red packet of Shin Ramyeon spicy ramen,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P19_black-handled collapsible selfie stick / monopod,"3.3019272488946263(4,3,3)","4.160167646103808(6,4,3)","3.9148676411688634(6,5,2)","1.5874010519681994(2,2,1)","4.93242414866094(6,5,4)","2.8844991406148166(4,3,2)","1.5874010519681994(2,2,1)","3.634241185664279(4,4,3)","3.5568933044900626(3,5,3)","2.5198420997897464(4,4,1)","3.3019272488946263(3,4,3)","3.6840314986403864(5,5,2)","3.0(3,3,3)","1.7099759466766968(1,5,1)","3.9148676411688634(5,4,3)","2.8844991406148166(4,3,2)","1.2599210498948732(1,2,1)","2.6207413942088964(3,3,2)","2.7144176165949063(5,2,2)","0(0,0,0)","2.7144176165949063(2,5,2)","2.46621207433047(5,3,1)","3.9999999999999996(4,4,4)","2.154434690031884(5,2,1)","3.9148676411688634(5,6,2)","4.160167646103808(6,6,2)","2.7144176165949063(5,4,1)","2.924017738212866(5,5,1)","2.6207413942088964(3,3,2)"
P20_small blue metal binder clip,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P21_yellow rectangular kitchen sponge with green scrub side,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P22_cylindrical metal calibration weight labeled 'M 500g',"2.6207413942088964(3,2,3)","3.634241185664279(6,4,2)","3.1072325059538586(6,5,1)","2.0(4,2,1)","3.6840314986403864(5,5,2)","3.1072325059538586(5,3,2)","1.5874010519681994(2,2,1)","3.1072325059538586(5,3,2)","3.5568933044900626(5,3,3)","2.5198420997897464(4,4,1)","3.0(3,3,3)","2.924017738212866(5,5,1)","2.6207413942088964(3,3,2)","1.8171205928321397(1,6,1)","3.6840314986403864(5,5,2)","2.8844991406148166(2,6,2)","1.2599210498948732(1,2,1)","1.8171205928321397(3,2,1)","2.7144176165949063(5,4,1)","2.8844991406148166(3,4,2)","2.7144176165949063(2,5,2)","3.1072325059538586(5,6,1)","0(0,0,0)","2.924017738212866(5,5,1)","2.7144176165949063(4,5,1)","3.3019272488946263(6,6,1)","2.7144176165949063(4,5,1)","2.924017738212866(5,5,1)","2.2894284851066637(2,3,2)"
P23_blue and white soft pack of facial tissues,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P24_hand brush with wooden handle and black bristles,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P25_black leather three-seat sofa,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P26_yellow Japanese snack bag,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P27_green turtle shell plush pillow,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P28_folded checkered umbrella with hooked handle,"3.634241185664279(6,4,2)","3.9148676411688634(6,5,2)","3.7797631496846193(6,3,3)","2.080083823051904(3,3,1)","4.481404746557164(5,6,3)","3.1748021039363987(4,4,2)","1.5874010519681994(2,2,1)","2.8844991406148166(3,4,2)","3.634241185664279(4,6,2)","3.9148676411688634(5,4,3)","2.6207413942088964(3,3,2)","3.4199518933533937(4,5,2)","2.5198420997897464(2,4,2)","3.1072325059538586(2,5,3)","3.6840314986403864(5,5,2)","1.8171205928321397(1,3,2)","1.2599210498948732(1,2,1)","1.8171205928321397(2,3,1)","4.481404746557164(6,5,3)","2.6207413942088964(3,3,2)","2.2894284851066637(2,6,1)","4.5788569702133275(6,4,4)","2.7144176165949063(5,4,1)","3.7797631496846193(6,3,3)","4.641588833612778(5,5,4)","4.379519139887889(7,3,4)","4.160167646103808(6,4,3)","4.160167646103808(6,3,4)","0(0,0,0)"
