,P0_Apple iMac desktop monitor,P1_white tabletop fan,P2_compact mechanical keyboard with dark grey keys and one orange key,P3_white Apple Magic Mouse,P4_black ballpoint pen,P5_white USB charging cable,P6_green retractable cable reel,P7_black mesh office chair,P8_small white stapler,P9_transparent plastic cup,P10_pair of black-and-yellow scissors,P11_spray bottle with blue liquid and white nozzle,P12_black folded paper stand,P13_orange ping-pong ball,P14_yellow rectangular kitchen sponge with green scrubbing side,P15_transparent empty wine glass,P16_small grey rabbit figurine with raised ears,P17_grey camouflage wireless game controller,P18_single cylindrical AA battery,P19_red packet of Shin Ramyun instant noodles,P20_black-handled telescoping selfie stick/monopod,P21_blue metal binder clip,P22_blue and white facial tissue box with one tissue protruding,P23_500 g calibration weight (cylindrical metal),P24_wooden-handled bench brush with black bristles,P25_black leather three-seater sofa,P26_yellow Japanese snack packet,P27_green turtle shell plush pillow with white trim,P28_black umbrella with multicolored polka dots and a curved handle
P0_Apple iMac desktop monitor,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P1_white tabletop fan,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P2_compact mechanical keyboard with dark grey keys and one orange key,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P3_white Apple Magic Mouse,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P4_black ballpoint pen,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P5_white USB charging cable,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P6_green retractable cable reel,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P7_black mesh office chair,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P8_small white stapler,"2.2894284851066637(3,2,2)","4.481404746557164(5,6,3)","5.241482788417793(6,6,4)","2.5198420997897464(4,2,2)","2.6207413942088964(2,3,3)","2.0(2,2,2)","2.2894284851066637(3,2,2)","4.308869380063767(5,4,4)","0(0,0,0)","3.634241185664279(4,4,3)","2.6207413942088964(3,3,2)","3.634241185664279(4,4,3)","2.0(2,2,2)","1.2599210498948732(2,1,1)","5.241482788417793(6,4,6)","1.8171205928321397(3,2,1)","3.3019272488946263(3,4,3)","4.308869380063767(4,5,4)","1.2599210498948732(2,1,1)","4.641588833612778(5,5,4)","4.217163326508746(5,5,3)","2.6207413942088964(3,3,2)","3.1072325059538586(5,2,3)","1.5874010519681994(2,2,1)","5.313292845913055(5,6,5)","3.4199518933533937(5,2,4)","4.308869380063767(4,5,4)","3.634241185664279(4,3,4)","3.634241185664279(4,4,3)"
P9_transparent plastic cup,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P10_pair of black-and-yellow scissors,"2.154434690031884(5,2,1)","4.160167646103808(6,4,3)","3.1748021039363987(4,4,2)","2.7144176165949063(5,2,2)","2.2894284851066637(2,3,2)","3.634241185664279(3,4,4)","2.8844991406148166(4,3,2)","5.313292845913055(6,5,5)","2.8844991406148166(4,3,2)","3.1072325059538586(5,3,2)","0(0,0,0)","3.9148676411688634(5,4,3)","3.3019272488946263(4,3,3)","3.1748021039363987(2,4,4)","5.999999999999999(6,6,6)","2.0(4,2,1)","2.6207413942088964(3,3,2)","2.0(4,2,1)","1.5874010519681994(2,2,1)","4.93242414866094(6,5,4)","3.1072325059538586(5,3,2)","2.6207413942088964(3,3,2)","4.160167646103808(6,3,4)","2.0(4,2,1)","5.999999999999999(6,6,6)","4.93242414866094(6,5,4)","4.641588833612778(5,5,4)","5.241482788417793(6,6,4)","4.217163326508746(5,5,3)"
P11_spray bottle with blue liquid and white nozzle,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P12_black folded paper stand,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P13_orange ping-pong ball,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P14_yellow rectangular kitchen sponge with green scrubbing side,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P15_transparent empty wine glass,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P16_small grey rabbit figurine with raised ears,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P17_grey camouflage wireless game controller,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P18_single cylindrical AA battery,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P19_red packet of Shin Ramyun instant noodles,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P20_black-handled telescoping selfie stick/monopod,"2.8844991406148166(6,2,2)","3.9148676411688634(4,5,3)","4.93242414866094(5,6,4)","2.5198420997897464(4,2,2)","2.6207413942088964(3,3,2)","2.6207413942088964(2,3,3)","3.634241185664279(4,4,3)","4.641588833612778(5,5,4)","2.8844991406148166(4,3,2)","2.8844991406148166(4,3,2)","3.3019272488946263(3,4,3)","4.308869380063767(4,5,4)","2.2894284851066637(2,2,3)","2.2894284851066637(3,2,2)","5.241482788417793(6,4,6)","1.8171205928321397(2,3,1)","2.5198420997897464(2,4,2)","4.5788569702133275(4,6,4)","2.2894284851066637(3,2,2)","4.217163326508746(5,5,3)","0(0,0,0)","3.5568933044900626(3,5,3)","3.5568933044900626(5,3,3)","4.217163326508746(5,5,3)","4.93242414866094(4,6,5)","4.217163326508746(5,3,5)","4.217163326508746(5,5,3)","3.9999999999999996(4,4,4)","3.634241185664279(4,3,4)"
P21_blue metal binder clip,"3.9148676411688634(6,5,2)","4.762203155904598(6,6,3)","4.93242414866094(5,6,4)","2.0(4,2,1)","2.8844991406148166(3,4,2)","2.2894284851066637(2,3,2)","2.5198420997897464(4,2,2)","4.308869380063767(5,4,4)","2.5198420997897464(4,2,2)","1.5874010519681994(4,1,1)","2.0(4,2,1)","3.1072325059538586(3,5,2)","2.6207413942088964(3,2,3)","1.5874010519681994(2,1,2)","4.93242414866094(6,4,5)","1.4422495703074083(3,1,1)","2.6207413942088964(3,3,2)","3.4199518933533937(5,4,2)","1.2599210498948732(2,1,1)","3.634241185664279(4,3,4)","3.9148676411688634(6,5,2)","0(0,0,0)","3.1072325059538586(5,2,3)","1.5874010519681994(4,1,1)","4.308869380063767(4,5,4)","4.641588833612778(5,4,5)","3.3019272488946263(4,3,3)","3.1748021039363987(4,2,4)","3.634241185664279(4,4,3)"
P22_blue and white facial tissue box with one tissue protruding,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P23_500 g calibration weight (cylindrical metal),"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P24_wooden-handled bench brush with black bristles,"2.2894284851066637(3,2,2)","4.93242414866094(5,6,4)","5.64621617328617(6,6,5)","2.0(4,2,1)","2.6207413942088964(3,3,2)","2.6207413942088964(2,3,3)","2.6207413942088964(3,3,2)","4.641588833612778(4,5,5)","4.308869380063767(4,5,4)","3.0(3,3,3)","3.1072325059538586(5,3,2)","3.9148676411688634(3,5,4)","2.0(2,2,2)","2.0(2,2,2)","4.160167646103808(6,4,3)","1.5874010519681994(2,2,1)","3.1072325059538586(2,5,3)","3.634241185664279(4,4,3)","2.0(2,2,2)","4.641588833612778(5,5,4)","4.93242414866094(5,6,4)","3.1748021039363987(2,4,4)","3.3019272488946263(4,3,3)","1.8171205928321397(3,2,1)","0(0,0,0)","3.5568933044900626(5,3,3)","4.308869380063767(4,5,4)","3.9999999999999996(4,4,4)","3.9148676411688634(3,5,4)"
P25_black leather three-seater sofa,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P26_yellow Japanese snack packet,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P27_green turtle shell plush pillow with white trim,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P28_black umbrella with multicolored polka dots and a curved handle,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
