,P0_small green potted plant in a white pot,P1_hardcover notebook with dark patterned cover,P2_pair of black-framed glasses,P3_clear plastic water bottle with screw cap,P4_yellow disposable paper cup,P5_transparent plastic ruler,P6_white USB charging cable,P7_small layered 3D-printed grey rabbit figurine,P8_red Shin Ramyun instant noodle packet,P9_stainless steel metal tweezers,P10_silver and black Olympus PEN film camera,P11_green round retractable measuring tape with partially extended beige tape,P12_white plastic adjustable desk lamp with circular head,P13_green-and-white pack of wet wipes with a single white tissue sheet protruding,P14_small bright orange tangerine,P15_long metal flat-head screwdriver with a translucent red handle,P16_gray fabric messenger bag with zipper pocket and adjustable shoulder strap,P17_high-back gray upholstered booth seat with metal frame,P18_black adjustable tripod stand (microphone or lighting stand),P19_green hexagonal fabric ottoman,P20_whiteboard with drawings and writings,P21_floor power outlet module with visible sockets,P22_loose white sheet of paper or document
P0_small green potted plant in a white pot,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P1_hardcover notebook with dark patterned cover,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P2_pair of black-framed glasses,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P3_clear plastic water bottle with screw cap,"4.5788569702133275(4,6,4)","3.3019272488946263(3,4,3)","2.0(2,2,2)","0(0,0,0)","3.3019272488946263(4,3,3)","2.2894284851066637(2,3,2)","4.308869380063767(4,5,4)","2.2894284851066637(3,2,2)","5.64621617328617(6,6,5)","2.2894284851066637(2,3,2)","2.6207413942088964(3,3,2)","3.3019272488946263(3,4,3)","1.8171205928321397(3,1,2)","5.64621617328617(6,6,5)","3.634241185664279(4,4,3)","1.5874010519681994(2,2,1)","5.64621617328617(6,6,5)","5.943921952763129(7,6,5)","2.0(2,2,2)","5.64621617328617(6,6,5)","1.8171205928321397(6,1,1)","1.4422495703074083(3,1,1)","2.2894284851066637(2,2,3)"
P4_yellow disposable paper cup,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P5_transparent plastic ruler,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P6_white USB charging cable,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P7_small layered 3D-printed grey rabbit figurine,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P8_red Shin Ramyun instant noodle packet,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P9_stainless steel metal tweezers,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P10_silver and black Olympus PEN film camera,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P11_green round retractable measuring tape with partially extended beige tape,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P12_white plastic adjustable desk lamp with circular head,"3.9148676411688634(4,5,3)","2.2894284851066637(3,2,2)","1.2599210498948732(2,1,1)","1.8171205928321397(3,2,1)","2.6207413942088964(3,3,2)","1.2599210498948732(2,1,1)","2.8844991406148166(3,4,2)","1.2599210498948732(2,1,1)","4.93242414866094(5,6,4)","1.2599210498948732(2,1,1)","1.4422495703074083(3,1,1)","2.2894284851066637(3,2,2)","0(0,0,0)","5.313292845913055(5,6,5)","2.8844991406148166(3,4,2)","1.2599210498948732(2,1,1)","4.93242414866094(5,6,4)","5.64621617328617(6,6,5)","1.4422495703074083(3,1,1)","5.64621617328617(6,6,5)","1.5874010519681994(4,1,1)","1.2599210498948732(2,1,1)","1.0(1,1,1)"
P13_green-and-white pack of wet wipes with a single white tissue sheet protruding,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P14_small bright orange tangerine,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P15_long metal flat-head screwdriver with a translucent red handle,"3.9148676411688634(3,5,4)","2.2894284851066637(2,3,2)","1.2599210498948732(1,2,1)","1.8171205928321397(1,3,2)","2.2894284851066637(3,2,2)","1.8171205928321397(2,3,1)","2.6207413942088964(2,3,3)","1.0(1,1,1)","5.64621617328617(5,6,6)","1.2599210498948732(1,2,1)","2.0(2,2,2)","1.8171205928321397(1,3,2)","3.3019272488946263(4,3,3)","5.313292845913055(5,6,5)","3.1072325059538586(2,5,3)","0(0,0,0)","5.0(5,5,5)","5.999999999999999(6,6,6)","1.8171205928321397(1,2,3)","5.999999999999999(6,6,6)","1.7099759466766968(5,1,1)","1.0(1,1,1)","3.0(3,3,3)"
P16_gray fabric messenger bag with zipper pocket and adjustable shoulder strap,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P17_high-back gray upholstered booth seat with metal frame,"3.9148676411688634(5,4,3)","2.5198420997897464(4,2,2)","1.2599210498948732(2,1,1)","3.6840314986403864(5,5,2)","3.4199518933533937(4,5,2)","1.5874010519681994(2,2,1)","3.3019272488946263(3,4,3)","1.5874010519681994(2,2,1)","4.93242414866094(5,6,4)","1.0(1,1,1)","2.0(4,2,1)","2.8844991406148166(4,3,2)","3.3019272488946263(6,3,2)","5.241482788417793(6,6,4)","2.8844991406148166(3,4,2)","1.2599210498948732(2,1,1)","5.943921952763129(6,7,5)","0(0,0,0)","2.2894284851066637(3,2,2)","5.517848352762241(7,6,4)","1.7099759466766968(5,1,1)","1.4422495703074083(3,1,1)","1.2599210498948732(1,2,1)"
P18_black adjustable tripod stand (microphone or lighting stand),"4.641588833612778(5,4,5)","2.8844991406148166(4,2,3)","1.5874010519681994(2,1,2)","3.634241185664279(4,3,4)","3.9999999999999996(4,4,4)","2.2894284851066637(3,2,2)","3.5568933044900626(3,5,3)","1.5874010519681994(2,1,2)","5.64621617328617(6,6,5)","2.0(2,2,2)","2.080083823051904(3,1,3)","3.3019272488946263(3,4,3)","1.8171205928321397(3,2,1)","5.999999999999999(6,6,6)","4.308869380063767(4,5,4)","2.0(2,2,2)","5.943921952763129(7,6,5)","6.316359597656378(7,6,6)","0(0,0,0)","6.316359597656378(7,6,6)","1.8171205928321397(3,2,1)","1.5874010519681994(2,1,2)","3.9999999999999996(4,4,4)"
P19_green hexagonal fabric ottoman,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P20_whiteboard with drawings and writings,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P21_floor power outlet module with visible sockets,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
P22_loose white sheet of paper or document,"0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)","0(0,0,0)"
